K,gamma,exact_log_ratio,perturbative_log_ratio
4,0.00026413588029581474,27.98074391461749,27.958918887253798
4,0.00029107850781995444,27.21808639743348,27.188984686913276
4,0.0003207693616626528,26.45846587249477,26.42051504109435
4,0.00035348876889636157,25.702422016844885,25.65379783100917
4,0.00038954565076971864,24.950564448621577,24.889171257651746
4,0.0004292804393966292,24.203574404492237,24.127029940509033
4,0.00047306829195611276,23.462204601062368,23.36783059681263
4,0.0005213226327498746,22.727277349831404,22.612096712289937
4,0.0005744990565600491,21.999681469648806,21.86042143365886
4,0.0006330996301607743,21.28036918061808,21.11346774989653
4,0.0006976776325964496,20.570354905754506,20.371964931887426
4,0.0007688427789821585,19.870718625584146,19.6367002352777
4,0.0008472669771469127,19.18261695305206,18.90850511596129
4,0.0009336906714712427,18.507305249679376,18.18823572682862
4,0.0010289298338146565,17.84617380085907,17.476748277109035
4,0.001133883667538029,17.200800408507675,16.77487087344547
4,0.0012495430973586534,16.5730211401538,16.083374540702962
4,0.0013770001251951986,15.965021198835089,15.402946951172797
4,0.001517458140336036,15.37945029274072,14.73417264802951
4,0.0016722432812747068,14.819573604583475,14.077522992124283
4,0.001842816956485632,14.289483893161211,13.433357661106882
4,0.0020307896423553294,13.794428455793494,12.80193753088082
4,0.0022379360885427394,13.341359312015086,12.183446638442895
4,0.0024662120743304703,12.93992754268453,11.57801919760234
4,0.002717772874172606,12.60440322478965,10.985766735940397
4,0.0029949936067820387,12.35770225606037,10.40680052772712
4,0.0033004916598838646,12.240948999224678,9.841245547185956
4,0.003637151402358808,12.341194909794147,9.289243910189244
4,0.004008151417097093,12.906192894541427,8.750947867379269
4,0.004416994511682568,15.642710332623025,8.226504483826226
4,0.004867540790253865,12.653294084907074,7.716035815452251
4,0.005364044098791477,10.416076814563048,7.219619328471159
4,0.005911192187930082,8.968196199259232,6.737273260114723
4,0.00651415097249446,7.818948287909528,6.268950531005128
4,0.007178613305636679,6.834895653892751,5.814542892815231
4,0.007910852728077117,5.960314989630618,5.373894670909465
4,0.0087177826999242,5.167193953425617,4.946823301057588
4,0.009607021874312009,4.440293661792559,4.5331423626683875
4,0.010586966029138566,3.7711507218452525,4.132682270569907
4,0.011666867336050574,3.1548690624862843,3.7453042371252767
4,0.012856921715094902,2.587928824956883,3.370904383409937
4,0.014168365099798567,2.0666702698969814,3.009406680105
4,0.015613579521566553,1.5866216488585785,2.6607454232050856
4,0.017206210014996618,1.1428097058066555,2.3248398839538265
4,0.018961293447875924,0.7308902425034205,2.001565304184118
4,0.020895400492211946,0.34871417916024683,1.6907252409948912
4,0.023026792076721033,-0.0020665067228406997,1.3920301803103348
4,0.0253755917979255,-0.3147597455902975,1.1050862929359067
4,0.02796397591768401,-0.5774430871613951,0.829396399204847
4,0.03081638274102205,-0.774837315062296,0.5643730651291339
4,0.03395974335110968,-0.8925827464800662,0.3093617999720557
4,0.037423735879877934,-0.9217216434560314,0.06367100552581295
4,0.04124106571497687,-0.8590426145867696,-0.17339514556631475
4,0.04544777428865795,-0.7008246285612927,-0.40250440904533624
4,0.050083579364019706,-0.4304896779221359,-0.6242674059013651
4,0.05519225003144003,0.004312195416432019,-0.839213411268287
4,0.06082201995573401,0.7620618969617361,-1.0477716517109896
4,0.06702604277572308,2.57928390494952,-1.2502580748450196
4,0.07386289395588429,2.704452452091644,-1.4468671902704644
