K,nmax,gamma,log_A1_over_factorial,log_A2_weighted_over_factorial,log_weighted_ratio
10,220,0.0042878143044366756,-100.90473368032286,-84.01208272736685,16.892650952956018
10,220,0.0043913746737629985,-100.29795081286416,-83.88807682233703,16.40987399052713
10,220,0.00449743625917135,-99.47981850619712,-83.76258615186424,15.717232354332879
10,220,0.00460605947066152,-106.80853755200098,-83.63561466896643,23.17292288303456
10,220,0.0047173061772707945,-108.08228617053882,-83.50716121652684,24.575124954011983
10,220,0.004831239742313023,-105.01405706463247,-83.37722944581097,21.6368276188215
10,220,0.004947925059468725,-106.31626369182072,-83.2458219727342,23.070441719086517
10,220,0.0050674285897469255,-107.36430895072043,-83.11294184507668,24.25136710564375
10,220,0.005189818399339655,-104.91925430359358,-82.97859247384523,21.94066182974835
10,220,0.005315164198390711,-102.53418444234943,-82.84277773442831,19.691406707921118
10,220,0.005443537380700837,-101.6191617603111,-82.70550170571542,18.91366005459568
10,220,0.005575011064391785,-102.00411919059252,-82.56676947950817,19.43734971108435
10,220,0.005709660133552583,-103.00128735030307,-82.42658504688504,20.574702303418036
10,220,0.005847561280891605,-105.4734265365218,-82.28495399924812,23.188472537273682
10,220,0.005988793051418811,-103.22647011372534,-82.14188193256972,21.084588181155624
10,220,0.006133435887182978,-99.7853128653473,-81.99737541228069,17.787937453066604
10,220,0.006281572173089474,-99.91114554893946,-81.85143977114976,18.059705777789702
10,220,0.006433286283824632,-100.3376437249127,-81.70408207569348,18.633561649219217
10,220,0.006588664631913421,-101.9432463303807,-81.55530933847311,20.387936991907594
10,220,0.0067477957169378485,-98.41353387328563,-81.40512932195173,17.008404551333896
10,220,0.0069107701759440615,-98.61839772346791,-81.25354911106653,17.364848612401374
10,220,0.007077680835066965,-99.30112066389297,-81.10057708213365,18.20054358175932
10,220,0.0072486227624015895,-97.81639497059876,-80.94622174226832,16.870173228330444
10,220,0.007423693322151524,-98.3124954187935,-80.790491743878,17.52200367491551
10,220,0.007602992230085087,-99.76898293463935,-80.63339623637134,19.135586698268014
10,220,0.007786621610330886,-99.01289331332201,-80.474944721662,18.53794859166001
10,220,0.007974686053545194,-101.51626017341155,-80.31514697715554,21.201113196256017
10,220,0.008167292676484087,-97.32490270717743,-80.1540130879295,17.17088961924793
10,220,0.008364551183014489,-96.3516053696451,-79.99155340321012,16.36005196643498
10,220,0.008566573926598707,-94.96128546969753,-79.82777866879326,15.133506800904271
10,220,0.008773475974288097,-94.06740725965828,-79.66269972404058,14.404707535617703
10,220,0.008985375172262416,-93.18657758586342,-79.49632781223133,13.69024977363209
10,220,0.009202392212951944,-92.34274457149021,-79.32867448982726,13.01407008166295
10,220,0.009424650703780919,-91.57056431065854,-79.15975141904687,12.41081289161167
10,220,0.009652277237571174,-90.84885361662984,-78.9895707290265,11.859282887603342
10,220,0.009885401464646174,-90.2042642231364,-78.8181446732996,11.386119549836806
10,220,0.010124156166676643,-89.54533486878634,-78.6454862769782,10.899848591808137
10,220,0.010368677332309579,-88.93454285052147,-78.47160847996903,10.462934370552432
10,220,0.010619104234623986,-88.33393272963544,-78.29652501527926,10.037407714356178
10,220,0.01087557951045729,-87.75816255751263,-78.12024979824847,9.637912759264168
10,220,0.011138249241647701,-87.19608937571175,-77.9427972338831,9.253292141828652
10,220,0.0114072630382387,-86.64628674594675,-77.76418200895563,8.882104736991124
10,220,0.011682774123693168,-86.1112707740929,-77.58441902968836,8.526851744404539
10,220,0.011964939422165586,-85.5878790890922,-77.40352334465578,8.184355744436417
10,220,0.012253919647882095,-85.0751827082356,-77.22150999473655,7.853672713499051
10,220,0.012549879396679219,-84.57358357496435,-77.03839389388895,7.535189681075394
10,220,0.012852987239753522,-84.0816705917177,-76.85418974300875,7.22748084870895
10,220,0.0131634158196755,-83.59986514988645,-76.66891200918653,6.930953140699927
10,220,0.013481341948722421,-83.12708773513897,-76.48257489487692,6.644512840262053
10,220,0.01380694670958615,-82.6633207743918,-76.29519247694714,6.36812829744467
10,220,0.014140415558513248,-82.20844024438135,-76.10677889708619,6.101661347295163
10,220,0.01448193843093618,-81.76241761473757,-75.91734864317851,5.8450689715590585
10,220,0.014831709849655738,-81.32513382148018,-75.7269168670729,5.5982169544072775
10,220,0.015189929035636332,-80.89653682544116,-75.53549974069371,5.361037084747451
10,220,0.01555680002147718,-80.4767671285301,-75.34311481359515,5.133652314934949
10,220,0.015932531767624155,-80.06593575315966,-75.14978122269828,4.916154530461384
10,220,0.016317338281388354,-79.664211335706,-74.95551977613393,4.708691559572074
10,220,0.016711438738839294,-79.27186671727043,-74.76035285949912,4.511513857771305
10,220,0.01711505760964201,-78.88922132542845,-74.56430404844902,4.324917276979434
10,220,0.017528424784909347,-78.51668336105693,-74.3673975047456,4.149285856311337
10,220,0.017951775708142114,-78.15475681860224,-74.16965712555766,3.9850996930445746
10,220,0.018385351509331748,-77.80405946238112,-73.97110555358762,3.832953908793499
10,220,0.018829399142301913,-77.46534699421252,-73.77176309562948,3.693583898583043
10,220,0.019284171525367082,-77.1395471644807,-73.5716467508098,3.5679004136708983
10,220,0.019749927685388476,-76.82779925869906,-73.37076944615184,3.457029812547219
10,220,0.020226932905309192,-76.53152630273128,-73.16913968672284,3.362386616008436
10,220,0.020715458875252713,-76.2525168202104,-72.96676173753167,3.285755082678733
10,220,0.021215783847270672,-75.99305571023775,-72.76363642415731,3.229419286080443
10,220,0.021728192793828236,-75.75612268481326,-72.55976264040326,3.1963600444099995
10,220,0.02225297757011721,-75.54569202940012,-72.35513944692084,3.1905525824792704
10,220,0.022790437080289373,-75.36722671066701,-72.1497686689165,3.2174580417505183
10,220,0.02334087744770478,-75.22852254031586,-71.94365772873019,3.2848648115856776
10,220,0.023904612189291817,-75.14125251393774,-71.73682239021517,3.4044301237225767
10,220,0.02448196239411858,-75.1240578600678,-71.52928906825849,3.594768791809301
10,220,0.025073256906277073,-75.20950806709719,-71.32109625003223,3.888411817064963
10,220,0.02567883251218453,-75.46276038664676,-71.11229477869972,4.350465607947044
10,220,0.026299034132408396,-76.04816339059924,-70.90294661965055,5.145216770948693
10,220,0.026934215018124402,-77.67326560827145,-70.69312208868851,6.980143519582938
10,220,0.02758473695231952,-77.87546157871165,-70.48289551151534,7.392566067196313
10,220,0.02825097045585437,-75.07712790583814,-70.27233959514766,4.804788310690483
10,220,0.028933294998502623,-73.63567191227034,-70.0615189047954,3.5741530074749335
10,220,0.029632099215087304,-72.57148835069256,-69.85048302685536,2.721005323837204
10,220,0.03034778112683743,-71.69045647192384,-69.63926012909005,2.0511963428337907
10,220,0.031080748368090806,-70.91940432047419,-69.42785167639639,1.4915526440777995
10,220,0.031831418418472326,-70.2227624624292,-69.21622911529761,1.0065333471315938
10,220,0.032600218840679714,-69.58056296595815,-69.00433320438276,0.5762297615753909
10,220,0.03338758752401251,-68.98049758022442,-68.79207660075912,0.188420979465306
10,220,0.03419397293378271,-68.41446696832843,-68.57935001405602,-0.16488304572759205
10,220,0.035019834366749346,-67.87688122023268,-68.36603189904244,-0.48915067880976437
10,220,0.03586564221272223,-67.36374335540968,-68.1520012858477,-0.7882579304380215
10,220,0.03673187822248417,-66.87211963833747,-67.93715281693491,-1.0650331785974458
10,220,0.037619035782184,-66.39981667847714,-67.7214125877696,-1.3215959092924692
10,220,0.038527620194356904,-65.94517593044932,-67.50475315725745,-1.5595772268081305
10,220,0.039458148965732,-65.50693860744835,-67.28720574531647,-1.7802671378681225
10,220,0.040411152101991005,-65.0841546740889,-67.06886793412376,-1.9847132600348658
10,220,0.04138717240964617,-64.67612064061797,-66.84990542929111,-2.173784788673146
10,220,0.04238676580520911,-64.2823369760531,-66.63054716860898,-2.3482101925558823
10,220,0.043410501631826866,-63.902479478320124,-66.41107376904586,-2.508594290725732
10,220,0.044458962983565296,-63.53638115641718,-66.19179998927066,-2.655418832853485
10,220,0.04553274703752478,-63.18402255235555,-65.9730525540196,-2.7890300016640523
10,220,0.04663246539397719,-62.845529496024255,-65.75514497260596,-2.909615476581706
10,220,0.04775874442471794,-62.521177990420156,-65.53835109006127,-3.017173099641113
10,220,0.04891222562983164,-62.21140678825438,-65.32287913211016,-3.1114723438557803
10,220,0.050093566003074186,-61.91683902229296,-65.10884782740128,-3.1920088051083155
10,220,0.05130343840607989,-61.63831535255151,-64.89626619390842,-3.2579508413569087
10,220,0.05254253195160645,-61.37694278185639,-64.68501856106892,-3.3080757792125226
10,220,0.05381155239603624,-61.13416581847389,-64.47485663037182,-3.340690811897929
10,220,0.05511122254135718,-60.91187092526243,-64.26540058079544,-3.3535296555330163
10,220,0.0564422826468526,-60.71254273000353,-64.0561514079586,-3.3436086779550678
10,220,0.05780549085073417,-60.53950402619648,-63.846516289334645,-3.307012263138162
10,220,0.05920162360195835,-60.39729820865711,-63.635848076613875,-3.2385498679567633
10,220,0.060631476102471986,-60.29232737205973,-63.42349808039382,-3.131170708334089
10,220,0.06209586276013934,-60.23398134788965,-63.208878827825224,-2.9748974799355707
10,220,0.0635956176526082,-60.23679259416032,-62.99153056896074,-2.7547379748004204
10,220,0.06513159500237942,-60.32498653148797,-62.77118273292999,-2.4461962014420138
